"","Cluster_samples"
"VL1517_AVD_lait_ADNc-308",1
"VL1517_AVG_lait_ADNc-309",2
"VL1717_ARG_lait_ADNc-314",1
"VL1717_ARD_lait_ADNc-315",3
"VL1818_ARG_lait_ADNc-321",1
"VL1815_AVD_lait_ADNc-326",1
"VL1815_ARD_lait_ADNc-327",2
"VL1743_AVG_lait_ADNc-332",2
"VL1743_ARD_lait_ADNc-333",2
"VL1926_AVG_lait_ADNc-338",3
"VL1914_AVG_lait_ADNc-339",3
"VL1744_AVG_lait_ADNc-340",2
"VL1913_AVD_lait_ADNc-341",3
"VL2011_AVG_lait_ADNc-346",1
"VL1531_AVG_lait_ADNc-347",3
"VL1814_ARD_lait_ADNc-348",2
"VL1916_AVD_lait_ADNc-350",2
"VL1921_ARD_lait_ADNc-351",1
"VL9149_ARD_lait_ADNc-380",1
"VL7504_AVD_lait_ADNc-381",1
"VL7186_ARD_lait_ADNc-382",3
"VL1076_AVD_lait_ADNc-383",2
"VL1127_AVD_lait_ADNc-384",2
"VL1064_ARG_lait_ADNc-385",2
"VL1063_AVG_lait_ADNc-386",2
"VL1145_ARD_lait_ADNc-387",1
"VL9148_ARD_lait_ADNc-388",3
"VL7501_AVG_lait_ADNc-389",2
"VL1083_AVG_lait_ADNc-400",2
"VL1101_ARD_lait_ADNc-401",2
"VL1095_ARG_lait_ADNc-402",2
"VL9045_AVD_lait_ADNc-403",2
"VL1124_AVD_lait_ADNc-404",3
"VL9088_ARD_lait_ADNc-405",2
"VL8324_AVD_lait_ADNc-406",2
"VL9089_AVD_lait_ADNc-407",2
"VL8332_AVG_lait_ADNc-408",3
"VL1096_AVD_lait_ADNc-409",1
